County Name,State,7/6/2021
Gladwin County ,MI,2305
Glascock County ,GA,146
Glasscock County ,TX,104
Glenn County ,CA,2438
Gloucester County ,NJ,30749
Gloucester County ,VA,2279
Glynn County ,GA,6869
Gogebic County ,MI,1411
Golden Valley County ,MT,57
Golden Valley County ,ND,261
Goliad County ,TX,482
Gonzales County ,TX,2747
Goochland County ,VA,1483
Goodhue County ,MN,4840
Gooding County ,ID,1341
Gordon County ,GA,6562
Goshen County ,WY,1247
Gosper County ,NE,187
Gove County ,KS,388
Grady County ,GA,1628
Grady County ,OK,6001
Grafton County ,NH,4087
Graham County ,AZ,5598
Graham County ,KS,265
Graham County ,NC,669
Grainger County ,TN,2682
Grand County ,CO,1507
Grand County ,UT,1064
Grand Forks County ,ND,10721
Grand Isle County ,VT,217
Grand Traverse County ,MI,6480
Granite County ,MT,204
Grant County ,AR,1809
Grant County ,IN,7690
Grant County ,KS,949
Grant County ,KY,2541
Grant County ,MN,594
Grant County ,NE,41
Grant County ,NM,1758
Grant County ,ND,211
Grant County ,OK,549
Grant County ,OR,552
Grant County ,SD,1057
Grant County ,WA,9411
Grant County ,WV,1317
Grant County ,WI,5764
Grant Parish ,LA,2282
Granville County ,NC,5999
Gratiot County ,MI,4094
Graves County ,KY,4407
Gray County ,KS,596
Gray County ,TX,2545
Grays Harbor County ,WA,4622
Grayson County ,KY,2261
Grayson County ,TX,11374
Grayson County ,VA,1514
Greeley County ,KS,104
Greeley County ,NE,214
Green County ,KY,1234
Green County ,WI,3660
Green Lake County ,WI,2064
Greenbrier County ,WV,2902
Greene County ,AL,938
Greene County ,AR,6321
Greene County ,GA,1520
Greene County ,IL,1460
Greene County ,IN,2892
Greene County ,IA,781
Greene County ,MS,1322
Greene County ,MO,32100
Greene County ,NY,3406
Greene County ,NC,2427
Greene County ,OH,15331
Greene County ,PA,3361
Greene County ,TN,8055
Greene County ,VA,1302
Greenlee County ,AZ,580
Greensville County ,VA,1583
Greenup County ,KY,3739
Greenville County ,SC,75715
Greenwood County ,KS,576
Greenwood County ,SC,8316
Greer County ,OK,584
Gregg County ,TX,11487
Gregory County ,SD,589
Grenada County ,MS,2641
Griggs County ,ND,330
Grimes County ,TX,3825
Grundy County ,IL,5996
Grundy County ,IA,1377
Grundy County ,MO,1144
Grundy County ,TN,1804
Guadalupe County ,NM,472
Guadalupe County ,TX,15723
Guernsey County ,OH,3265
Guilford County ,NC,48793
Gulf County ,FL,1996
Gunnison County ,CO,1401
Guthrie County ,IA,1237
Gwinnett County ,GA,88123
Haakon County ,SD,266
Habersham County ,GA,4698
Haines Borough ,AK,24
Hale County ,AL,2273
Hale County ,TX,6187
Halifax County ,NC,5688
Halifax County ,VA,2840
Hall County ,GA,25595
Hall County ,NE,7863
Hall County ,TX,498
Hamblen County ,TN,8688
Hamilton County ,FL,1636
Hamilton County ,IL,849
Hamilton County ,IN,36807
Hamilton County ,IA,1823
Hamilton County ,KS,210
Hamilton County ,NE,967
Hamilton County ,NY,316
Hamilton County ,OH,81588
Hamilton County ,TN,45513
Hamilton County ,TX,806
Hamlin County ,SD,802
Hampden County ,MA,52474
Hampshire County ,MA,9179
Hampshire County ,WV,1928
Hampton County ,SC,1929
Hancock County ,GA,846
Hancock County ,IL,1835
Hancock County ,IN,8651
Hancock County ,IA,1507
Hancock County ,KY,897
Hancock County ,ME,1377
Hancock County ,MS,3907
Hancock County ,OH,7011
Hancock County ,TN,620
Hancock County ,WV,2845
Hand County ,SD,365
Hanover County ,VA,8290
Hansford County ,TX,944
Hanson County ,SD,392
Haralson County ,GA,1741
Hardee County ,FL,3393
Hardeman County ,TN,3550
Hardeman County ,TX,387
Hardin County ,IL,392
Hardin County ,IA,1885
Hardin County ,KY,10020
Hardin County ,OH,2770
Hardin County ,TN,3615
Hardin County ,TX,6109
Harding County ,NM,13
Harding County ,SD,97
Hardy County ,WV,1584
Harford County ,MD,16670
Harlan County ,KY,2955
Harlan County ,NE,219
Harmon County ,OK,327
Harnett County ,NC,12096
Harney County ,OR,439
Harper County ,KS,624
Harper County ,OK,422
Harris County ,GA,2270
Harris County ,TX,403645
Harrison County ,IN,4429
Harrison County ,IA,1802
Harrison County ,KY,1836
Harrison County ,MS,18686
Harrison County ,MO,909
Harrison County ,OH,1143
Harrison County ,TX,5482
Harrison County ,WV,6209
Hart County ,GA,1755
Hart County ,KY,2030
Hartford County ,CT,84596
Hartley County ,TX,662
Harvey County ,KS,3710
Haskell County ,KS,416
Haskell County ,OK,1267
Haskell County ,TX,462
Hawaii County ,HI,3295
Hawkins County ,TN,6337
Hayes County ,NE,61
Hays County ,TX,21245
Haywood County ,NC,4501
Haywood County ,TN,2718
Heard County ,GA,655
Hemphill County ,TX,587
Hempstead County ,AR,2090
Henderson County ,IL,529
Henderson County ,KY,4980
Henderson County ,NC,10325
Henderson County ,TN,3866
Henderson County ,TX,6073
Hendricks County ,IN,17848
Hendry County ,FL,4946
Hennepin County ,MN,125311
Henrico County ,VA,26075
Henry County ,AL,1955
Henry County ,GA,19825
Henry County ,IL,5083
Henry County ,IN,5923
Henry County ,IA,2957
Henry County ,KY,1390
Henry County ,MO,2104
Henry County ,OH,2743
Henry County ,TN,3405
Henry County ,VA,4680
Herkimer County ,NY,5210
Hernando County ,FL,14967
Hertford County ,NC,2117
Hettinger County ,ND,332
Hickman County ,KY,403
Hickman County ,TN,2895
Hickory County ,MO,722
Hidalgo County ,NM,368
Hidalgo County ,TX,91372
Highland County ,OH,3611
Highland County ,VA,110
Highlands County ,FL,8819
Hill County ,MT,2038
Hill County ,TX,4571
Hillsborough County ,FL,146166
Hillsborough County ,NH,36440
Hillsdale County ,MI,4404
Hinds County ,MS,21150
Hinsdale County ,CO,20
Hitchcock County ,NE,255
Hocking County ,OH,2206
Hockley County ,TX,3134
Hodgeman County ,KS,213
Hoke County ,NC,4922
Holmes County ,FL,2280
Holmes County ,MS,1913
Holmes County ,OH,2715
Holt County ,MO,466
Holt County ,NE,865
Hood County ,TX,6678
Hood River County ,OR,1233
Hooker County ,NE,54
Hoonah-Angoon Census Area ,AK,0
Hopkins County ,KY,4756
Hopkins County ,TX,3542
Horry County ,SC,39845
Hot Spring County ,AR,5441
Hot Springs County ,WY,372
Houghton County ,MI,3143
Houston County ,AL,10858
Houston County ,GA,10262
Houston County ,MN,1749
Houston County ,TN,1122
Houston County ,TX,1962
Howard County ,AR,1689
Howard County ,IN,10450
Howard County ,IA,1051
Howard County ,MD,19352
Howard County ,MO,1091
Howard County ,NE,559
Howard County ,TX,4709
Howell County ,MO,3716
Hubbard County ,MN,1973
Hudson County ,NJ,88462
Hudspeth County ,TX,541
Huerfano County ,CO,440
Hughes County ,OK,1253
Hughes County ,SD,2526
Humboldt County ,CA,4561
Humboldt County ,IA,1208
Humboldt County ,NV,1219
Humphreys County ,MS,975
Humphreys County ,TN,1943
Hunt County ,TX,6272
Hunterdon County ,NJ,9912
Huntingdon County ,PA,5173
Huntington County ,IN,4048
Huron County ,MI,4094
Huron County ,OH,5577
Hutchinson County ,SD,920
Hutchinson County ,TX,2427
Hyde County ,NC,671
Hyde County ,SD,140
Iberia Parish ,LA,7482
Iberville Parish ,LA,3972
Ida County ,IA,917
Idaho County ,ID,1345
Imperial County ,CA,28685
Independence County ,AR,3992
Indian River County ,FL,13017
Indiana County ,PA,6417
Ingham County ,MI,24927
Inyo County ,CA,1412
Ionia County ,MI,6339
Iosco County ,MI,2007
Iowa County ,IA,1502
Iowa County ,WI,2155
Iredell County ,NC,19317
Irion County ,TX,129
Iron County ,MI,1054
Iron County ,MO,928
Iron County ,UT,5374
Iron County ,WI,706
Iroquois County ,IL,3165
Irwin County ,GA,782
Isabella County ,MI,6343
Isanti County ,MN,4415
Island County ,WA,1882
Isle of Wight County ,VA,3182
Issaquena County ,MS,169
Itasca County ,MN,4614
Itawamba County ,MS,3053
Izard County ,AR,1735
Jack County ,TX,589
Jackson County ,AL,7047
Jackson County ,AR,3273
Jackson County ,CO,67
Jackson County ,FL,6439
Jackson County ,GA,8655
Jackson County ,IL,5126
Jackson County ,IN,5104
Jackson County ,IA,2253
Jackson County ,KS,1419
Jackson County ,KY,1337
Jackson County ,MI,15856
Jackson County ,MN,1229
Jackson County ,MS,13873
Jackson County ,MO,85773
Jackson County ,NC,3664
Jackson County ,OH,3195
Jackson County ,OK,3133
Jackson County ,OR,11696
Jackson County ,SD,290
Jackson County ,TN,1368
Jackson County ,TX,1875
Jackson County ,WV,2265
Jackson County ,WI,2721
Jackson Parish ,LA,2087
James City County ,VA,4689
Jasper County ,GA,689
Jasper County ,IL,1167
Jasper County ,IN,3930
Jasper County ,IA,4223
Jasper County ,MS,2228
Jasper County ,MO,17108
Jasper County ,SC,2436
Jasper County ,TX,2549
Jay County ,IN,2032
Jeff Davis County ,GA,1328
Jeff Davis County ,TX,195
Jefferson County ,AL,81328
Jefferson County ,AR,9320
Jefferson County ,CO,49023
Jefferson County ,FL,1506
Jefferson County ,GA,1602
Jefferson County ,ID,3039
Jefferson County ,IL,4485
Jefferson County ,IN,3369
Jefferson County ,IA,1341
Jefferson County ,KS,1766
Jefferson County ,KY,83251
Jefferson County ,MS,664
Jefferson County ,MO,23895
Jefferson County ,MT,1116
Jefferson County ,NE,669
Jefferson County ,NY,6192
Jefferson County ,OH,5692
Jefferson County ,OK,710
Jefferson County ,OR,2401
Jefferson County ,PA,3345
Jefferson County ,TN,6340
Jefferson County ,TX,20450
Jefferson County ,WA,454
Jefferson County ,WV,4807
Jefferson County ,WI,9700
Jefferson Davis County ,MS,1091
Jefferson Davis Parish ,LA,3256
Jefferson Parish ,LA,47816
Jenkins County ,GA,737
Jennings County ,IN,2361
Jerauld County ,SD,281
Jerome County ,ID,2659
Jersey County ,IL,2731
Jessamine County ,KY,4815
Jewell County ,KS,216
Jim Hogg County ,TX,621
Jim Wells County ,TX,4434
Jo Daviess County ,IL,1830
Johnson County ,AR,2982
Johnson County ,GA,797
Johnson County ,IL,1483
Johnson County ,IN,18607
Johnson County ,IA,14648
Johnson County ,KS,59976
Johnson County ,KY,2110
Johnson County ,MO,4913
Johnson County ,NE,641
Johnson County ,TN,2447
Johnson County ,TX,20216
Johnson County ,WY,744
Johnston County ,NC,22335
Johnston County ,OK,1385
Jones County ,GA,1625
Jones County ,IA,3013
Jones County ,MS,8498
Jones County ,NC,901
Jones County ,SD,96
Jones County ,TX,2614
Josephine County ,OR,3693
Juab County ,UT,1354
Judith Basin County ,MT,92
Juneau County ,WI,3356
Juniata County ,PA,2142
Kalamazoo County ,MI,23210
Kalawao County ,HI,0
Kalkaska County ,MI,1144
Kanabec County ,MN,1469
Kanawha County ,WV,15505
Kandiyohi County ,MN,6690
Kane County ,IL,59597
Kane County ,UT,647
Kankakee County ,IL,14628
Karnes County ,TX,2397
Kauai County ,HI,394
Kaufman County ,TX,16580
Kay County ,OK,5350
Kearney County ,NE,690
Kearny County ,KS,573
Keith County ,NE,723
Kemper County ,MS,970
Kenai Peninsula Borough ,AK,4402
Kendall County ,IL,13330
Kendall County ,TX,3360
Kenedy County ,TX,39
Kennebec County ,ME,6612
Kenosha County ,WI,18837
Kent County ,DE,18272
Kent County ,MD,1361
Kent County ,MI,73770
Kent County ,RI,18828
Kent County ,TX,106
Kenton County ,KY,16917
Keokuk County ,IA,971
Kern County ,CA,97474
Kerr County ,TX,4615
Kershaw County ,SC,7567
Ketchikan Gateway Borough ,AK,643
Kewaunee County ,WI,2730
Keweenaw County ,MI,174
Keya Paha County ,NE,54
Kidder County ,ND,279
Kimball County ,NE,423
Kimble County ,TX,295
King and Queen County ,VA,419
King County ,TX,11
King County ,WA,112963
King George County ,VA,1732
King William County ,VA,1249
Kingfisher County ,OK,2057
Kingman County ,KS,780
Kings County ,CA,23063
Kings County ,NY,276887
Kingsbury County ,SD,818
Kinney County ,TX,347
Kiowa County ,CO,95
Kiowa County ,KS,236
Kiowa County ,OK,821
Kit Carson County ,CO,647
Kitsap County ,WA,8881
Kittitas County ,WA,3362
Kittson County ,MN,490
Klamath County ,OR,4812
Kleberg County ,TX,2700
Klickitat County ,WA,893
Knott County ,KY,1164
Knox County ,IL,5672
Knox County ,IN,3806
Knox County ,KY,3883
Knox County ,ME,1149
Knox County ,MO,388
Knox County ,NE,888
Knox County ,OH,4581
Knox County ,TN,52165
Knox County ,TX,263
Kodiak Island Borough ,AK,1062
Koochiching County ,MN,958
Kootenai County ,ID,19140
Kosciusko County ,IN,9679
Kossuth County ,IA,2164
Kusilvak Census Area ,AK,1417
La Crosse County ,WI,13555
La Paz County ,AZ,2497
La Plata County ,CO,4182
La Salle County ,TX,1000
Labette County ,KS,2774
Lac qui Parle County ,MN,760
Lackawanna County ,PA,18568
Laclede County ,MO,3760
Lafayette County ,AR,563
Lafayette County ,FL,1631
Lafayette County ,MS,6342
Lafayette County ,MO,3244
Lafayette County ,WI,1728
Lafayette Parish ,LA,24748
Lafourche Parish ,LA,10321
LaGrange County ,IN,2747
Lake and Peninsula Borough ,AK,127
Lake County ,CA,3645
Lake County ,CO,836
Lake County ,FL,31360
Lake County ,IL,68514
Lake County ,IN,56474
Lake County ,MI,639
Lake County ,MN,834
Lake County ,MT,2140
Lake County ,OH,21262
Lake County ,OR,473
Lake County ,SD,1390
Lake County ,TN,1728
Lake of the Woods County ,MN,345
Lamar County ,AL,1476
Lamar County ,GA,1373
Lamar County ,MS,6419
Lamar County ,TX,5962
Lamb County ,TX,2492
Lamoille County ,VT,889
LaMoure County ,ND,538
Lampasas County ,TX,2226
Lancaster County ,NE,31468
Lancaster County ,PA,55449
Lancaster County ,SC,10976
Lancaster County ,VA,719
Lander County ,NV,482
Lane County ,KS,128
Lane County ,OR,14114
Langlade County ,WI,2221
Lanier County ,GA,511
Lapeer County ,MI,9249
LaPorte County ,IN,12477
Laramie County ,WY,10714
Larimer County ,CO,27845
LaRue County ,KY,1372
Las Animas County ,CO,1180
LaSalle County ,IL,12822
LaSalle Parish ,LA,1718
Lassen County ,CA,5288
Latah County ,ID,3219
Latimer County ,OK,844
Lauderdale County ,AL,9653
Lauderdale County ,MS,7277
Lauderdale County ,TN,3269
Laurel County ,KY,7586
Laurens County ,GA,3774
Laurens County ,SC,7550
Lavaca County ,TX,2505
Lawrence County ,AL,3144
Lawrence County ,AR,2177
Lawrence County ,IL,2407
Lawrence County ,IN,4793
Lawrence County ,KY,1490
Lawrence County ,MS,1324
Lawrence County ,MO,3807
Lawrence County ,OH,5764
Lawrence County ,PA,7703
Lawrence County ,SD,3018
Lawrence County ,TN,6108
Le Flore County ,OK,5680
Le Sueur County ,MN,2980
Lea County ,NM,8450
Leake County ,MS,2734
Leavenworth County ,KS,7348
Lebanon County ,PA,16206
Lee County ,AL,16343
Lee County ,AR,1715
Lee County ,FL,72994
Lee County ,GA,1630
Lee County ,IL,4196
Lee County ,IA,3857
Lee County ,KY,1295
Lee County ,MS,10146
Lee County ,NC,6172
Lee County ,SC,1945
Lee County ,TX,2246
Lee County ,VA,2433
Leelanau County ,MI,1244
Leflore County ,MS,3519
Lehigh County ,PA,39871
Lemhi County ,ID,534
Lenawee County ,MI,9391
Lenoir County ,NC,6278
Leon County ,FL,32450
Leon County ,TX,1654
Leslie County ,KY,964
Letcher County ,KY,1978
Levy County ,FL,3636
Lewis and Clark County ,MT,7069
Lewis County ,ID,439
Lewis County ,KY,1365
Lewis County ,MO,1077
Lewis County ,NY,2827
Lewis County ,TN,1627
Lewis County ,WA,5360
Lewis County ,WV,1298
Lexington County ,SC,33844
Liberty County ,FL,1094
Liberty County ,GA,3634
Liberty County ,MT,119
Liberty County ,TX,8207
Licking County ,OH,16701
Limestone County ,AL,10210
Limestone County ,TX,2831
Lincoln County ,AR,3264
Lincoln County ,CO,1036
Lincoln County ,GA,535
Lincoln County ,ID,513
Lincoln County ,KS,266
Lincoln County ,KY,2414
Lincoln County ,ME,1083
Lincoln County ,MN,584
Lincoln County ,MS,4031
Lincoln County ,MO,6369
Lincoln County ,MT,1652
Lincoln County ,NE,3874
Lincoln County ,NV,376
Lincoln County ,NM,1767
Lincoln County ,NC,10297
Lincoln County ,OK,3281
Lincoln County ,OR,1459
Lincoln County ,SD,8722
Lincoln County ,TN,4414
Lincoln County ,WA,678
Lincoln County ,WV,1607
Lincoln County ,WI,3290
Lincoln County ,WY,1433
Lincoln Parish ,LA,4739
Linn County ,IA,21303
Linn County ,KS,835
Linn County ,MO,1611
Linn County ,OR,5808
Lipscomb County ,TX,350
Litchfield County ,CT,14707
Little River County ,AR,1279
Live Oak County ,TX,1138
Livingston County ,IL,4909
Livingston County ,KY,894
Livingston County ,MI,16769
Livingston County ,MO,2163
Livingston County ,NY,4540
Livingston Parish ,LA,14566
Llano County ,TX,1717
Logan County ,AR,2303
Logan County ,CO,4066
Logan County ,IL,4010
Logan County ,KS,305
Logan County ,KY,2956
Logan County ,NE,82
Logan County ,ND,267
Logan County ,OH,3888
Logan County ,OK,4319
Logan County ,WV,3303
Long County ,GA,699
Lonoke County ,AR,7866
Lorain County ,OH,25739
Los Alamos County ,NM,540
Los Angeles County ,CA,1210422
Loudon County ,TN,6242
Loudoun County ,VA,28105
Louisa County ,IA,1301
Louisa County ,VA,2030
Loup County ,NE,42
Love County ,OK,1533
Loving County ,TX,2
Lowndes County ,AL,1421
Lowndes County ,GA,8068
Lowndes County ,MS,6571
Lubbock County ,TX,49534
Lucas County ,IA,780
Lucas County ,OH,43463
Luce County ,MI,481
Lumpkin County ,GA,2861
Luna County ,NM,3392
Lunenburg County ,VA,790
Luzerne County ,PA,32141
Lycoming County ,PA,11970
Lyman County ,SD,659
Lynn County ,TX,628
Lyon County ,IA,1600
Lyon County ,KS,4329
Lyon County ,KY,1558
Lyon County ,MN,3642
Lyon County ,NV,3370
Mackinac County ,MI,714
Macomb County ,MI,100274
Macon County ,AL,1636
Macon County ,GA,632
Macon County ,IL,11030
Macon County ,MO,1656
Macon County ,NC,3171
Macon County ,TN,3670
Macoupin County ,IL,4817
Madera County ,CA,16720
Madison County ,AL,35869
Madison County ,AR,1512
Madison County ,FL,2085
Madison County ,GA,2789
Madison County ,ID,7358
Madison County ,IL,31242
Madison County ,IN,13277
Madison County ,IA,1648
Madison County ,KY,9595
Madison County ,MS,10356
Madison County ,MO,1696
Madison County ,MT,796
Madison County ,NE,4303
Madison County ,NY,4571
Madison County ,NC,1604
Madison County ,OH,4451
Madison County ,TN,11600
Madison County ,TX,1991
Madison County ,VA,617
Madison Parish ,LA,1581
Magoffin County ,KY,1040
Mahaska County ,IA,2333
Mahnomen County ,MN,565
Mahoning County ,OH,22439
Major County ,OK,956
Malheur County ,OR,3624
Manatee County ,FL,39699
Manistee County ,MI,1210
Manitowoc County ,WI,8930
Marathon County ,WI,16437
Marengo County ,AL,2511
Maricopa County ,AZ,562308
Maries County ,MO,659
Marin County ,CA,14174
Marinette County ,WI,4714
Marion County ,AL,3286
Marion County ,AR,1170
Marion County ,FL,32288
Marion County ,GA,414
Marion County ,IL,4550
Marion County ,IN,103927
Marion County ,IA,3664
Marion County ,KS,1120
Marion County ,KY,2395
Marion County ,MS,2729
Marion County ,MO,3693
Marion County ,OH,8655
Marion County ,OR,23680
Marion County ,SC,3572
Marion County ,TN,3270
Marion County ,TX,619
Marion County ,WV,4660
Mariposa County ,CA,441
Marlboro County ,SC,3511
Marquette County ,MI,5089
Marquette County ,WI,1610
Marshall County ,AL,12500
Marshall County ,IL,1086
Marshall County ,IN,6275
Marshall County ,IA,4889
Marshall County ,KS,1138
Marshall County ,KY,2896
Marshall County ,MN,888
Marshall County ,MS,4600
Marshall County ,OK,2060
Marshall County ,SD,375
Marshall County ,TN,4346
Marshall County ,WV,3539
Martin County ,FL,12805
Martin County ,IN,921
Martin County ,KY,1065
Martin County ,MN,2354
Martin County ,NC,2330
Martin County ,TX,652
Mason County ,IL,1564
Mason County ,KY,1764
Mason County ,MI,2141
Mason County ,TX,422
Mason County ,WA,2959
Mason County ,WV,2064
Massac County ,IL,1369
Matagorda County ,TX,4292
Matanuska-Susitna Borough ,AK,11793
Mathews County ,VA,604
Maui County ,HI,4912
Maury County ,TN,13755
Maverick County ,TX,10847
Mayes County ,OK,4303
McClain County ,OK,5359
McCone County ,MT,183
McCook County ,SD,814
McCormick County ,SC,1035
McCracken County ,KY,6967
McCreary County ,KY,2006
McCulloch County ,TX,591
McCurtain County ,OK,4006
McDonald County ,MO,2657
McDonough County ,IL,2964
McDowell County ,NC,5294
McDowell County ,WV,1615
McDuffie County ,GA,1732
McHenry County ,IL,29246
McHenry County ,ND,658
McIntosh County ,GA,700
McIntosh County ,ND,354
McIntosh County ,OK,2028
McKean County ,PA,3814
McKenzie County ,ND,1465
McKinley County ,NM,12403
McLean County ,IL,18586
McLean County ,KY,905
McLean County ,ND,1294
McLennan County ,TX,27716
McLeod County ,MN,4325
McMinn County ,TN,6672
McMullen County ,TX,85
McNairy County ,TN,2884
McPherson County ,KS,3341
McPherson County ,NE,29
McPherson County ,SD,247
Meade County ,KS,514
Meade County ,KY,2099
Meade County ,SD,2801
Meagher County ,MT,152
Mecklenburg County ,NC,114907
Mecklenburg County ,VA,2362
Mecosta County ,MI,3220
Medina County ,OH,15666
Medina County ,TX,4689
Meeker County ,MN,2639
Meigs County ,OH,1491
Meigs County ,TN,1429
Mellette County ,SD,260
Menard County ,IL,1258
Menard County ,TX,213
Mendocino County ,CA,4139
Menifee County ,KY,489
Menominee County ,MI,2132
Menominee County ,WI,813
Merced County ,CA,31310
Mercer County ,IL,1500
Mercer County ,KY,2640
Mercer County ,MO,313
Mercer County ,NJ,34219
Mercer County ,ND,1164
Mercer County ,OH,4882
Mercer County ,PA,9731
Mercer County ,WV,5200
Meriwether County ,GA,1580
Merrick County ,NE,787
Merrimack County ,NH,9696
Mesa County ,CO,17428
Metcalfe County ,KY,1068
Miami County ,IN,4005
Miami County ,KS,2813
Miami County ,OH,10879
Miami-Dade County ,FL,504470
Middlesex County ,CT,12880
Middlesex County ,MA,135478
Middlesex County ,NJ,92733
Middlesex County ,VA,576
Midland County ,MI,7581
Midland County ,TX,17810
Mifflin County ,PA,5441
Milam County ,TX,2584
Millard County ,UT,1502
Mille Lacs County ,MN,3122
Miller County ,AR,4473
Miller County ,GA,685
Miller County ,MO,2745
Mills County ,IA,1644
Mills County ,TX,660
Milwaukee County ,WI,117958
Miner County ,SD,307
Mineral County ,CO,94
Mineral County ,MT,293
Mineral County ,NV,309
Mineral County ,WV,2990
Mingo County ,WV,2771
Minidoka County ,ID,2358
Minnehaha County ,SD,31764
Missaukee County ,MI,1515
Mississippi County ,AR,5935
Mississippi County ,MO,1508
Missoula County ,MT,9401
Mitchell County ,GA,1559
Mitchell County ,IA,1267
Mitchell County ,KS,569
Mitchell County ,NC,1479
Mitchell County ,TX,609
Mobile County ,AL,42424
Modoc County ,CA,410
Moffat County ,CO,1059
Mohave County ,AZ,23985
Moniteau County ,MO,1849
Monmouth County ,NJ,76279
Mono County ,CA,1273
Monona County ,IA,836
Monongalia County ,WV,9400
Monroe County ,AL,1827
Monroe County ,AR,892
Monroe County ,FL,6853
Monroe County ,GA,1935
Monroe County ,IL,4410
Monroe County ,IN,12317
Monroe County ,IA,964
Monroe County ,KY,1347
Monroe County ,MI,15442
Monroe County ,MS,4186
Monroe County ,MO,1026
Monroe County ,NY,69240
Monroe County ,OH,1364
Monroe County ,PA,14841
Monroe County ,TN,5990
Monroe County ,WV,1226
Monroe County ,WI,4764
Montague County ,TX,2132
Montcalm County ,MI,6093
Monterey County ,CA,43218
Montezuma County ,CO,2105
Montgomery County ,AL,25129
Montgomery County ,AR,767
Montgomery County ,GA,739
Montgomery County ,IL,3801
Montgomery County ,IN,4451
Montgomery County ,IA,1037
Montgomery County ,KS,3486
Montgomery County ,KY,2868
Montgomery County ,MD,71251
Montgomery County ,MS,1294
Montgomery County ,MO,1085
Montgomery County ,NY,4259
Montgomery County ,NC,3389
Montgomery County ,OH,52706
Montgomery County ,PA,70455
Montgomery County ,TN,21101
Montgomery County ,TX,55665
Montgomery County ,VA,9430
Montmorency County ,MI,618
Montour County ,PA,2009
Montrose County ,CO,3763
Moody County ,SD,667
Moore County ,NC,9077
Moore County ,TN,1033
Moore County ,TX,2767
Mora County ,NM,175
Morehouse Parish ,LA,2891
Morgan County ,AL,14669
Morgan County ,CO,2756
Morgan County ,GA,1218
Morgan County ,IL,3996
Morgan County ,IN,6813
Morgan County ,KY,2329
Morgan County ,MO,1847
Morgan County ,OH,1102
Morgan County ,TN,2559
Morgan County ,UT,1306
Morgan County ,WV,1230
Morrill County ,NE,513
Morris County ,KS,592
Morris County ,NJ,50415
Morris County ,TX,956
Morrison County ,MN,4258
Morrow County ,OH,2927
Morrow County ,OR,1167
Morton County ,KS,270
Morton County ,ND,5349
Motley County ,TX,118
Moultrie County ,IL,1644
Mountrail County ,ND,1392
Mower County ,MN,4722
Muhlenberg County ,KY,3101
Multnomah County ,OR,40684
Municipality of Anchorage,AK,30644
Municipality of Skagway,AK,22
Murray County ,GA,4249
Murray County ,MN,1070
Murray County ,OK,2041
Muscatine County ,IA,4893
Muscogee County ,GA,14900
Muskegon County ,MI,16318
Muskingum County ,OH,8949
Muskogee County ,OK,9434
Musselshell County ,MT,377
Nacogdoches County ,TX,5206
Nance County ,NE,414
Napa County ,CA,10073
Nash County ,NC,11732
Nassau County ,FL,8582
Nassau County ,NY,184182
Natchitoches Parish ,LA,4181
Natrona County ,WY,8275
Navajo County ,AZ,16768
Navarro County ,TX,5947
Nelson County ,KY,5027
Nelson County ,ND,482
Nelson County ,VA,892
Nemaha County ,KS,1532
Nemaha County ,NE,696
Neosho County ,KS,1825
Neshoba County ,MS,4097
Ness County ,KS,372
Nevada County ,AR,894
Nevada County ,CA,4975
New Castle County ,DE,65138
New Hanover County ,NC,19581
New Haven County ,CT,92500
New Kent County ,VA,1527
New London County ,CT,22599
New Madrid County ,MO,2157
New York County ,NY,139022
Newaygo County ,MI,4904
Newberry County ,SC,5116
Newport County ,RI,6975
Newton County ,AR,791
Newton County ,GA,7720
Newton County ,IN,1185
Newton County ,MS,2504
Newton County ,MO,5939
Newton County ,TX,641
Nez Perce County ,ID,3764
Niagara County ,NY,20073
Nicholas County ,KY,599
Nicholas County ,WV,1908
Nicollet County ,MN,3319
Niobrara County ,WY,163
Noble County ,IN,5845
Noble County ,OH,1364
Noble County ,OK,1383
Nobles County ,MN,4083
Nodaway County ,MO,2437
Nolan County ,TX,1550
Nome Census Area ,AK,402
Norfolk County ,MA,55063
Norman County ,MN,548
North Slope Borough ,AK,1005
Northampton County ,NC,1895
Northampton County ,PA,35919
Northampton County ,VA,809
Northumberland County ,PA,9721
Northumberland County ,VA,749
Northwest Arctic Borough ,AK,599
Norton County ,KS,1220
Nottoway County ,VA,1927
Nowata County ,OK,1170
Noxubee County ,MS,1288
Nuckolls County ,NE,434
Nueces County ,TX,40151
Nye County ,NV,3026
Oakland County ,MI,118859
Obion County ,TN,4625
O'Brien County ,IA,1997
Ocean County ,NJ,76627
Oceana County ,MI,2771
Ochiltree County ,TX,1206
Oconee County ,GA,3099
Oconee County ,SC,9959
Oconto County ,WI,5122
Ogemaw County ,MI,1747
Oglala Lakota County ,SD,2121
Ogle County ,IL,6238
Oglethorpe County ,GA,1222
Ohio County ,IN,580
Ohio County ,KY,2518
Ohio County ,WV,4317
Okaloosa County ,FL,21078
Okanogan County ,WA,2808
Okeechobee County ,FL,4260
Okfuskee County ,OK,1805
Oklahoma County ,OK,87823
Okmulgee County ,OK,3908
Oktibbeha County ,MS,4681
Oldham County ,KY,7701
Oldham County ,TX,289
Oliver County ,ND,158
Olmsted County ,MN,13433
Oneida County ,ID,365
Oneida County ,NY,22675
Oneida County ,WI,3829
Onondaga County ,NY,39094
