County Name,State,7/6/2021
Bowman County ,ND,408
Box Butte County ,NE,944
Box Elder County ,UT,5672
Boyd County ,KY,5158
Boyd County ,NE,176
Boyle County ,KY,3511
Bracken County ,KY,673
Bradford County ,FL,3106
Bradford County ,PA,6132
Bradley County ,AR,1474
Bradley County ,TN,15325
Branch County ,MI,4924
Brantley County ,GA,973
Braxton County ,WV,1020
Brazoria County ,TX,38833
Brazos County ,TX,28043
Breathitt County ,KY,1058
Breckinridge County ,KY,1328
Bremer County ,IA,2896
Brevard County ,FL,43702
Brewster County ,TX,937
Briscoe County ,TX,169
Bristol Bay Borough ,AK,634
Bristol County ,MA,66959
Bristol County ,RI,5187
Broadwater County ,MT,527
Bronx County ,NY,177293
Brooke County ,WV,2249
Brookings County ,SD,4237
Brooks County ,GA,965
Brooks County ,TX,859
Broome County ,NY,18669
Broward County ,FL,247298
Brown County ,IL,753
Brown County ,IN,1047
Brown County ,KS,1243
Brown County ,MN,3082
Brown County ,NE,220
Brown County ,OH,4033
Brown County ,SD,5645
Brown County ,TX,4370
Brown County ,WI,35722
Brule County ,SD,719
Brunswick County ,NC,9374
Brunswick County ,VA,1339
Bryan County ,GA,2852
Bryan County ,OK,6219
Buchanan County ,IA,1943
Buchanan County ,MO,9978
Buchanan County ,VA,1543
Buckingham County ,VA,2140
Bucks County ,PA,60855
Buena Vista County ,IA,4274
Buffalo County ,NE,5521
Buffalo County ,SD,427
Buffalo County ,WI,1418
Bullitt County ,KY,7422
Bulloch County ,GA,5244
Bullock County ,AL,1250
Buncombe County ,NC,18115
Bureau County ,IL,3796
Burke County ,GA,1821
Burke County ,NC,10156
Burke County ,ND,247
Burleigh County ,ND,16040
Burleson County ,TX,2489
Burlington County ,NJ,44462
Burnet County ,TX,4932
Burnett County ,WI,1590
Burt County ,NE,671
Butler County ,AL,2264
Butler County ,IA,1672
Butler County ,KS,7654
Butler County ,KY,1480
Butler County ,MO,4322
Butler County ,NE,850
Butler County ,OH,39538
Butler County ,PA,17636
Butte County ,CA,12737
Butte County ,ID,212
Butte County ,SD,1093
Butts County ,GA,2403
Cabarrus County ,NC,22432
Cabell County ,WV,8888
Cache County ,UT,16603
Caddo County ,OK,3997
Caddo Parish ,LA,27343
Calaveras County ,CA,2211
Calcasieu Parish ,LA,23348
Caldwell County ,KY,1487
Caldwell County ,MO,885
Caldwell County ,NC,9529
Caldwell County ,TX,5793
Caldwell Parish ,LA,1142
Caledonia County ,VT,1083
Calhoun County ,AL,14778
Calhoun County ,AR,425
Calhoun County ,FL,1724
Calhoun County ,GA,449
Calhoun County ,IL,531
Calhoun County ,IA,1398
Calhoun County ,MI,14589
Calhoun County ,MS,1749
Calhoun County ,SC,1338
Calhoun County ,TX,2484
Calhoun County ,WV,394
Callahan County ,TX,1215
Callaway County ,MO,5167
Calloway County ,KY,3595
Calumet County ,WI,6537
Calvert County ,MD,4239
Camas County ,ID,72
Cambria County ,PA,14833
Camden County ,GA,3364
Camden County ,MO,4514
Camden County ,NJ,55981
Camden County ,NC,696
Cameron County ,PA,309
Cameron County ,TX,42400
Cameron Parish ,LA,635
Camp County ,TX,1328
Campbell County ,KY,8772
Campbell County ,SD,132
Campbell County ,TN,4198
Campbell County ,VA,4989
Campbell County ,WY,5195
Canadian County ,OK,17461
Candler County ,GA,797
Cannon County ,TN,1944
Canyon County ,ID,27703
Cape Girardeau County ,MO,9041
Cape May County ,NJ,9307
Carbon County ,MT,917
Carbon County ,PA,6402
Carbon County ,UT,1772
Carbon County ,WY,1649
Caribou County ,ID,714
Carlisle County ,KY,488
Carlton County ,MN,3544
Caroline County ,MD,2352
Caroline County ,VA,2703
Carroll County ,AR,2927
Carroll County ,GA,7560
Carroll County ,IL,1788
Carroll County ,IN,1946
Carroll County ,IA,2873
Carroll County ,KY,1043
Carroll County ,MD,9528
Carroll County ,MS,1224
Carroll County ,MO,1078
Carroll County ,NH,2498
Carroll County ,OH,1981
Carroll County ,TN,3720
Carroll County ,VA,2723
Carson County ,TX,605
Carter County ,KY,2385
Carter County ,MO,552
Carter County ,MT,151
Carter County ,OK,6337
Carter County ,TN,6769
Carteret County ,NC,5263
Carver County ,MN,10689
Cascade County ,MT,9539
Casey County ,KY,1519
Cass County ,IL,2057
Cass County ,IN,6053
Cass County ,IA,1393
Cass County ,MI,5507
Cass County ,MN,2871
Cass County ,MO,9627
Cass County ,NE,2676
Cass County ,ND,24793
Cass County ,TX,2192
Cassia County ,ID,2975
Castro County ,TX,1069
Caswell County ,NC,2207
Catahoula Parish ,LA,1196
Catawba County ,NC,19849
Catoosa County ,GA,5909
Catron County ,NM,97
Cattaraugus County ,NY,5728
Cavalier County ,ND,432
Cayuga County ,NY,6357
Cecil County ,MD,6360
Cedar County ,IA,1924
Cedar County ,MO,1177
Cedar County ,NE,776
Centre County ,PA,16930
Cerro Gordo County ,IA,5562
Chaffee County ,CO,1778
Chambers County ,AL,3738
Chambers County ,TX,5251
Champaign County ,IL,21173
Champaign County ,OH,3456
Chariton County ,MO,754
Charles City County ,VA,511
Charles County ,MD,10978
Charles Mix County ,SD,1393
Charleston County ,SC,44047
Charlevoix County ,MI,1678
Charlotte County ,FL,13478
Charlotte County ,VA,872
Charlton County ,GA,1300
Chase County ,KS,278
Chase County ,NE,463
Chatham County ,GA,20744
Chatham County ,NC,4760
Chattahoochee County ,GA,3881
Chattooga County ,GA,2257
Chautauqua County ,KS,274
Chautauqua County ,NY,8966
Chaves County ,NM,9075
Cheatham County ,TN,4673
Cheboygan County ,MI,1931
Chelan County ,WA,6956
Chemung County ,NY,7787
Chenango County ,NY,3516
Cherokee County ,AL,1874
Cherokee County ,GA,22908
Cherokee County ,IA,1599
Cherokee County ,KS,2643
Cherokee County ,NC,2643
Cherokee County ,OK,5711
Cherokee County ,SC,6227
Cherokee County ,TX,4311
Cherry County ,NE,301
Cheshire County ,NH,3904
Chester County ,PA,40851
Chester County ,SC,4272
Chester County ,TN,2207
Chesterfield County ,SC,4930
Chesterfield County ,VA,28321
Cheyenne County ,CO,130
Cheyenne County ,KS,371
Cheyenne County ,NE,938
Chickasaw County ,IA,1252
Chickasaw County ,MS,2122
Chicot County ,AR,1631
Childress County ,TX,1372
Chilton County ,AL,4481
Chippewa County ,MI,2514
Chippewa County ,MN,1540
Chippewa County ,WI,7714
Chisago County ,MN,6220
Chittenden County ,VT,7549
Choctaw County ,AL,624
Choctaw County ,MS,799
Choctaw County ,OK,1633
Chouteau County ,MT,516
Chowan County ,NC,1495
Christian County ,IL,3847
Christian County ,KY,7093
Christian County ,MO,9453
Churchill County ,NV,2134
Cibola County ,NM,2918
Cimarron County ,OK,219
Citrus County ,FL,11550
City and Borough of Juneau,AK,1364
City and Borough of Sitka,AK,357
City and Borough of Wrangell,AK,58
City and Borough of Yakutat,AK,73
City and County of Broomfield,CO,5018
City and County of Denver,CO,74519
City and County of Honolulu,HI,28079
City and County of San Francisco,CA,37230
City of Alexandria,VA,11895
City of Bristol,VA,1583
City of Buena Vista,VA,937
City of Charlottesville,VA,4044
City of Chesapeake,VA,21288
City of Colonial Heights,VA,1723
City of Covington,VA,611
City of Danville,VA,4503
City of Emporia,VA,679
City of Fairfax,VA,574
City of Falls Church,VA,430
City of Franklin,VA,1141
City of Fredericksburg,VA,2156
City of Galax,VA,1174
City of Hampton,VA,10742
City of Harrisonburg,VA,6538
City of Hopewell,VA,2706
City of Lexington,VA,1205
City of Lynchburg,VA,7485
City of Manassas,VA,4314
City of Manassas Park,VA,1222
City of Martinsville,VA,1630
City of Newport News,VA,14387
City of Norfolk,VA,18078
City of Norton,VA,292
City of Petersburg,VA,3954
